NCBI_SRA_Run_ID	GOLD_Project_ID	Type	Assembly_Method	Collection_Date	Instrument	JGI_Contigs_Link	JGI_Project_ID	JGI_Sample_ID	JGI_Sequencing_Project_ID	JGI_Sequencing_Project_Name	Latitude_and_Longitude	NCBI_BioProject_Accession	NCBI_BioSample_Accession	NCBI_Project_ID	NCBI_SRA_Sample_ID	Sample_Name	Sequencing_Run_Mode	Total_Bases	Volume_Seawater_Filtered	env_biome	env_feature	env_material	geo_loc_name	lat	lon
SRR7592212	Gp0266591	Metagenome	SPAdes assembler 3.11.1	2016-10-04	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/1D_rmetaG_FD/1D_rmetaG_FD.download.html	1174504	166736	1174680	1D metaG	36.835 N; 121.901 W	PRJNA467720	SAMN09201680	467720	SRP155234	1D	2x151	6639302994	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592225	Gp0266592	Metagenome	SPAdes assembler 3.11.1	2016-11-16	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/2DmetaG_FD/2DmetaG_FD.download.html	1174506	166737	1174681	2D metaG	36.835 N; 121.901 W	PRJNA467721	SAMN09201419	467721	SRP155237	2D	2x151	7983910278	1000	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592226	Gp0266593	Metagenome	SPAdes assembler 3.11.1	2016-11-09	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/3DmetaG_FD/3DmetaG_FD.download.html	1174508	166738	1174682	3D metaG	36.835 N; 121.901 W	PRJNA467722	SAMN09201454	467722	SRP155238	3D	2x151	6667059814	175	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592236	Gp0266594	Metagenome	SPAdes assembler 3.11.1	2016-11-03	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/4DmetaG_FD/4DmetaG_FD.download.html	1174510	166739	1174683	4D metaG	36.835 N; 121.901 W	PRJNA467723	SAMN09201857	467723	SRP155240	4D	2x151	7717664360	325	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360546	Gp0266596	Metagenome	SPAdes assembler 3.11.1	2016-10-26	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/7DmetaG_FD/7DmetaG_FD.download.html	1174514	166741	1174685	7D metaG	36.835 N; 121.901 W	PRJNA502407	SAMN10351037	502407	SRP174087	7D	2x151	10931783316	200	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592287	Gp0266597	Metagenome	SPAdes assembler 3.11.1	2016-11-05	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/8DmetaG_FD/8DmetaG_FD.download.html	1174516	166742	1174686	8D metaG	36.835 N; 121.901 W	PRJNA467724	SAMN09201853	467724	SRP155246	8D	2x151	9439829628	775	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360547	Gp0266598	Metagenome	SPAdes assembler 3.11.1	2016-11-15	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/9DmetaG_FD/9DmetaG_FD.download.html	1174518	166743	1174687	9D metaG	36.835 N; 121.901 W	PRJNA502408	SAMN10351267	502408	SRP174088	9D	2x151	10053837002	975	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360543	Gp0266599	Metagenome	SPAdes assembler 3.11.1	2016-11-10	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/10DmetaG_FD/10DmetaG_FD.download.html	1174520	166744	1174688	10D metaG	36.835 N; 121.901 W	PRJNA502409	SAMN10350899	502409	SRP174084	10D	2x151	10341052894	350	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR7592321	Gp0266600	Metagenome	SPAdes assembler 3.11.1	2016-10-06	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/11DmetaG_FD/11DmetaG_FD.download.html	1174522	166745	1174689	11D metaG	36.835 N; 121.901 W	PRJNA467725	SAMN09201852	467725	SRP155249	11D	2x151	19576899642	250	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
SRR8360542	Gp0266603	Metagenome	SPAdes assembler 3.11.1	2016-10-28	Illumina HiSeq-2000	https://genome.jgi.doe.gov/portal/14DmetaG_FD/14DmetaG_FD.download.html	1174528	166748	1174692	14D metaG	36.835 N; 121.901 W	PRJNA502410	SAMN10350898	502410	SRP174083	14D	2x151	8488758242	250	ocean_biome	ocean	water	Monterey Bay; CA; USA	36.835	-121.901
