filename	date	value
nppv_20160926.nc	2016-09-26	3279.72863070638
nppv_20160927.nc	2016-09-27	3689.21743777689
nppv_20160928.nc	2016-09-28	3370.52658743985
nppv_20160929.nc	2016-09-29	3229.98598451935
nppv_20160930.nc	2016-09-30	4693.27654262501
nppv_20161001.nc	2016-10-01	4383.60562117666
nppv_20161002.nc	2016-10-02	1209.37557242416
nppv_20161003.nc	2016-10-03	1187.1317359907
nppv_20161004.nc	2016-10-04	5694.28909332047
nppv_20161005.nc	2016-10-05	4092.3071507538
nppv_20161006.nc	2016-10-06	5510.80405020428
nppv_20161007.nc	2016-10-07	3678.58775756736
nppv_20161008.nc	2016-10-08	5152.64103318179
nppv_20161009.nc	2016-10-09	2403.70462264989
nppv_20161010.nc	2016-10-10	1583.06404226833
nppv_20161011.nc	2016-10-11	1682.2300451242
nppv_20161012.nc	2016-10-12	2098.37071715686
nppv_20161013.nc	2016-10-13	1152.5553419174
nppv_20161014.nc	2016-10-14	746.365859868122
nppv_20161015.nc	2016-10-15	886.879855328769
nppv_20161016.nc	2016-10-16	656.179874711171
nppv_20161017.nc	2016-10-17	4662.69126752901
nppv_20161018.nc	2016-10-18	5291.3324176428
nppv_20161019.nc	2016-10-19	4650.17245767022
nppv_20161020.nc	2016-10-20	5733.52179286729
nppv_20161021.nc	2016-10-21	2963.28611072655
nppv_20161022.nc	2016-10-22	3576.64127515731
nppv_20161023.nc	2016-10-23	786.516516779714
nppv_20161024.nc	2016-10-24	750.410193765115
nppv_20161025.nc	2016-10-25	2107.98931389215
nppv_20161026.nc	2016-10-26	5639.49102976221
nppv_20161027.nc	2016-10-27	4326.47940488164
nppv_20161028.nc	2016-10-28	613.780887442369
nppv_20161029.nc	2016-10-29	1252.62599840812
nppv_20161030.nc	2016-10-30	940.134686215814
nppv_20161031.nc	2016-10-31	1295.14471924624
nppv_20161101.nc	2016-11-01	1807.49796609157
nppv_20161102.nc	2016-11-02	2955.23735412234
nppv_20161103.nc	2016-11-03	3968.56915872771
nppv_20161104.nc	2016-11-04	2511.30519027777
nppv_20161105.nc	2016-11-05	2515.96149575128
nppv_20161106.nc	2016-11-06	1627.95082703298
nppv_20161107.nc	2016-11-07	1619.87546296892
nppv_20161108.nc	2016-11-08	2051.27551322478
nppv_20161109.nc	2016-11-09	3203.79094029837
nppv_20161110.nc	2016-11-10	2832.72330524929
nppv_20161111.nc	2016-11-11	3430.92552129625
nppv_20161112.nc	2016-11-12	4342.08468008287
nppv_20161113.nc	2016-11-13	1654.13256752404
nppv_20161114.nc	2016-11-14	1408.22642360294
nppv_20161115.nc	2016-11-15	1596.3943796525
nppv_20161116.nc	2016-11-16	2685.47762244694
